Input, Output
2.861022949175382e-05, 0.005524712519174547
0.15056885748517124, 29.065675074319746
0.30079946898805904, 7.68866389429539
0.4503337013182531, 29.34841368940927
0.5987011173864142, 14.300568602626154
0.745509482278519, 30.55875673241086
0.8905241979537626, 20.138277810409605
1.0331914994354787, 32.423180444419756
1.1733372245500535, 25.355681809091493
1.310468201249697, 34.737467003729705
1.4442611097341134, 30.05484114927112
1.574464741426374, 37.33576725406958
1.7006948278560268, 34.34857111190156
1.8226024453385328, 40.04901091588691
1.9398674785291479, 38.26550114083119
2.052269263345295, 42.79881687749003
2.1596498896359306, 41.882840535989786
2.261620022664747, 45.50062246231928
2.357787100547122, 45.125099990583
2.4480541744310083, 48.07289416978819
2.5320059043719927, 48.036339454719645
2.6096386896107244, 50.46081158958736
2.680746519687026, 50.65872774208222
2.7450613199644285, 52.60681908367223
2.8024316964518166, 52.92541680753038
2.8526534859375596, 54.47852703479339
2.8956763791596254, 54.84382874468375
2.9314020506742797, 56.07185720297681
2.959734961377162, 56.40714964737692
2.9805799803653716, 57.339719714964104
2.993938123806634, 57.61011327367388
2.9997317397985404, 58.27214662110037
2.997964385341281, 58.43582909590053
2.988625162810541, 58.85228640329529
2.971757595146535, 58.88599050896252
2.947405047962978, 59.07472524873335
2.91565787939862, 58.96474843808308
2.8763793886580116, 58.8961310112435
2.8299493840068064, 58.67035999576535
2.776314706620045, 58.37670679325597
2.715751443226534, 57.99648197268724
2.6483637610108643, 57.51383940627604
2.574153477509451, 56.92017270413333
2.4935435394622774, 56.29950083235624
2.4066301762964257, 55.52213526517582
2.313621522147984, 54.71811324931271
2.214680305658625, 53.768231327716876
2.110050037969097, 52.7893150474323
2.000339044565539, 51.75371229731148
1.8854456307989502, 50.55800318188482
1.765941747176176, 49.4146428278992
1.6416511721218456, 48.007579130538694
1.5134222256400123, 46.79697583078105
1.3814480913630285, 45.28012428617785
1.245772671558873, 43.85867758445535
1.107238864608523, 42.342815312292856
0.9658867736842018, 40.75627351924712
0.8221242212119597, 39.148778149953316
0.6759857829292496, 37.413302600609896
0.5282907431241988, 35.79179543332835
0.3790124280591545, 33.93179031971065
0.22872092745080133, 32.24744156419756
0.07812615632463266, 30.424580418131402
-0.07289695834241978, 28.585559323670708
-0.22346857435808792, 26.816993697217228
-0.37352981169447985, 24.906450841417083
-0.5225027250461012, 23.137002315119965
-0.6703934448926537, 21.168103714853217
-0.8166532757074267, 19.39793196540956
-0.960634168026352, 17.51946627534057
-1.1023716467721392, 15.678591493326135
-1.2410532749943557, 13.915379803425665
-1.3767754009372613, 12.040415535448592
-1.508850918728064, 10.366407324253498
-1.6371835950570226, 8.530417108540282
-1.7612791559833911, 6.923557681758977
-1.880989637783149, 5.159346873262299
-1.9959710316152273, 3.611567707541992
-2.1058675355311616, 1.9746488790591368
-2.210685300791341, 0.45074153298400965
-2.3096797863641303, -0.9842494626851952
-2.403032555582413, -2.4679766280300086
-2.490313561615962, -3.7651238610930005
-2.571168787751943, -5.077286288064214
-2.645522749935862, -6.273999488065014
-2.7133240990430965, -7.465041675489635
-2.7742468678709575, -8.498114502681307
-2.8280970850552154, -9.516590231745246
-2.8747611199650054, -10.404520093867092
-2.9141519264010474, -11.258453296013874
-2.946242751834943, -12.000754050960309
-2.9709449288817504, -12.680069856557349
-2.9881300344405846, -13.240182570222522
-2.99775741378656, -13.737957421072908
-2.999799858498961, -14.121397881282064
